day_name,exercise_name,description,sets,repetitions,rest_time,weight,duration
Wrapsafe,Castor canadensis,Blondel,49946,9,03306,1,14
Cardguard,Terathopius ecaudatus,MacIlraith,387,66,96243,55,08
Kanlam,Phoca vitulina,Gooms,9769,5414,7830,33,2
Bitwolf,Lama guanicoe,Renzullo,0,3,855,8353,672
Bitwolf,Pseudocheirus peregrinus,Stoner,254,6,3,17,18
Konklab,Sciurus niger,Iliff,86,865,82,0881,7
Trippledex,Vanellus armatus,Snepp,5476,6,126,28304,16345
Subin,Dasyurus maculatus,Hallstone,6,2,22,3,4
Y-find,Felis libyca,Paddeley,3249,0294,5669,17,9512
Matsoft,Dicrurus adsimilis,McLarnon,85028,4,2024,30931,1
